"Time","laser tattoo removal","tattoo removal","remove tattoo"
"2022-11-01",11,36,7
"2022-12-01",12,38,6
"2023-01-01",15,49,8
"2023-02-01",14,52,9
"2023-03-01",15,52,9
"2023-04-01",14,52,10
"2023-05-01",15,54,10
"2023-06-01",15,55,10
"2023-07-01",16,58,11
"2023-08-01",14,54,10
"2023-09-01",14,47,8
"2023-10-01",13,43,9
"2023-11-01",12,40,7
"2023-12-01",12,42,6
"2024-01-01",15,49,8
"2024-02-01",15,51,8
"2024-03-01",15,56,9
"2024-04-01",16,54,9
"2024-05-01",16,53,9
"2024-06-01",17,57,9
"2024-07-01",15,55,9
"2024-08-01",14,53,9
"2024-09-01",14,45,8
"2024-10-01",13,47,8
"2024-11-01",12,43,8
"2024-12-01",12,42,7
"2025-01-01",15,52,8
"2025-02-01",18,100,9
"2025-03-01",18,65,10
"2025-04-01",18,67,11
"2025-05-01",17,65,10
"2025-06-01",18,68,11
"2025-07-01",18,65,12
"2025-08-01",16,61,10
"2025-09-01",14,50,9
"2025-10-01",13,46,9
"2025-11-01",14,47,9
"2025-12-01",17,58,11
"2026-01-01",18,61,12
"2026-02-01",19,64,14
"2026-03-01",23,72,12
"2026-04-01",26,78,12
