,id,name,city,state,zip,rating,review_count,latitude,longitude,categories,url
362,E0Dy6JsIJQtjO7Tiff3law,Beverly Hills Institute of Plastic Surgery,Beverly Hills,CA,90211,4.8,355,34.0658706,-118.3800038,"Cosmetic Surgeons, Plastic Surgeons, Medical Spas",https://www.yelp.com/biz/beverly-hills-institute-of-plastic-surgery-beverly-hills-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
363,tBkvtgNwR-qB96RJwP5xug,iGlow Medical Aesthetics,Rosemead,CA,91770,4.3,4,34.08094,-118.07957,"Medical Spas, Plastic Surgeons, Body Contouring",https://www.yelp.com/biz/iglow-medical-aesthetics-rosemead?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
364,hjNG-60rTFlv9OoaARQ-Mg,Beyond The Needle - Studio City,Studio City,CA,91604,5.0,6,34.14265367744117,-118.403287,"Medical Spas, Skin Care, Tattoo Removal",https://www.yelp.com/biz/beyond-the-needle-studio-city-studio-city?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
365,aEln5tRkMcs5SQDMzZVfIA,ABM Medical Cosmetic & Laser Services,Woodland Hills,CA,91364,4.3,121,34.166282,-118.5943848,"Medical Spas, Laser Hair Removal, Tattoo Removal",https://www.yelp.com/biz/abm-medical-cosmetic-and-laser-services-woodland-hills?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
366,vujEbXM9KgEbHA6HO3CkYQ,VIP Laser Center,Los Angeles,CA,91356,0.0,0,34.17165,-118.54226,"Laser Hair Removal, Medical Spas, Tattoo Removal",https://www.yelp.com/biz/vip-laser-center-los-angeles?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
367,jH_mru5AsgZG5H0-aJR6nw,V Line Cosmetic Clinic,Arcadia,CA,91007,4.6,182,34.132,-118.05633,"Skin Care, Medical Spas, Laser Hair Removal",https://www.yelp.com/biz/v-line-cosmetic-clinic-arcadia-3?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
368,PsyTxshcWAARXaXcd12uVg,Beverly Hills Beauty Lab,Los Angeles ,CA,90025,4.3,520,34.0503595,-118.4593041,"Laser Hair Removal, Medical Spas, Acne Treatment",https://www.yelp.com/biz/beverly-hills-beauty-lab-los-angeles-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
369,N4fv-V8JeONgibcFuzk15Q,Cuchu Brows ,Inglewood,CA,90304,5.0,1,33.9438323313643,-118.353138,"Permanent Makeup, Eyelash Service, Tattoo Removal",https://www.yelp.com/biz/cuchu-brows-inglewood-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
370,B6t68wePeyShCteUCZCatA,Glowing U Wellness,Torrance,CA,90505,5.0,19,33.789032,-118.340245,"Medical Spas, Laser Hair Removal, Weight Loss Centers",https://www.yelp.com/biz/glowing-u-wellness-torrance?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
371,v6uoyrPHFTG56X74fCFu4A,Beverly Hills Laser Institute,Beverly Hills,CA,90211,0.0,0,34.0666923522949,-118.386329650879,"Medical Spas, Tattoo Removal, Laser Hair Removal",https://www.yelp.com/biz/beverly-hills-laser-institute-beverly-hills-2?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
372,Rnu27qf7Mt-u-E0X5u_RPg,Radiance Med Spa,Pasadena,CA,91105,4.7,260,34.13135,-118.14684,"Medical Spas, Laser Hair Removal, Skin Care",https://www.yelp.com/biz/radiance-med-spa-pasadena?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
373,9lS1XDp6ENa3mFmsEEaaAw,Massage Revolution,Manhattan Beach,CA,90266,4.6,1101,33.875062318376266,-118.39546747440204,"Massage Therapy, Pain Management",https://www.yelp.com/biz/massage-revolution-manhattan-beach?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
374,8IVKhvi7_NhWqcUgZA7pkA,Divine Elysian Wellness,Rancho Palos Verdes,CA,90275,4.3,67,33.75596592337157,-118.3107608,"Laser Hair Removal, Medical Spas, Skin Care",https://www.yelp.com/biz/divine-elysian-wellness-rancho-palos-verdes?adjust_creative=0NHrNXk52GBIGj3KwV99dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0NHrNXk52GBIGj3KwV99dg
